,id,4,6,8,10,12,14
id,0.0,0.8400140024896245,0.6125672197085805,0.5002091170899803,0.471191561257001,0.43867568791029043,0.43469881592318416
4,0.8400140024896245,0.0,0.6880776599864475,0.7988584758131765,0.8301730653038248,0.8389717379031936,0.8430327357782517
6,0.6125672197085805,0.6880776599864475,0.0,0.5276628525025444,0.5819313636893639,0.5995421639963752,0.6109017176640918
8,0.5002091170899803,0.7988584758131765,0.5276628525025444,0.0,0.4640774126019096,0.4889877565583447,0.5042091747454833
10,0.471191561257001,0.8301730653038248,0.5819313636893639,0.4640774126019096,0.0,0.4409692249028012,0.4541235863871407
12,0.43867568791029043,0.8389717379031936,0.5995421639963752,0.4889877565583447,0.4409692249028012,0.0,0.4384912693349179
14,0.43469881592318416,0.8430327357782517,0.6109017176640918,0.5042091747454833,0.4541235863871407,0.4384912693349179,0.0
