,id,500,1000,2000,4000,8000,16000
id,0.0,0.504222815099638,0.5681996080966201,0.613756913022371,0.6779902853595559,0.7310872487141751,0.7980665646027774
500,0.504222815099638,0.0,0.46932287550589535,0.5148864008078817,0.5792303474445362,0.638783539092401,0.714845923212124
1000,0.5681996080966201,0.46932287550589535,0.0,0.46465178894868586,0.5116025003226241,0.5687102542433422,0.6533678455743939
2000,0.613756913022371,0.5148864008078817,0.46465178894868586,0.0,0.46074986092571635,0.5112691239482956,0.5815705326094758
4000,0.6779902853595559,0.5792303474445362,0.5116025003226241,0.46074986092571635,0.0,0.454964067786932,0.5232605542405508
8000,0.7310872487141751,0.638783539092401,0.5687102542433422,0.5112691239482956,0.454964067786932,0.0,0.4553527712414507
16000,0.7980665646027774,0.714845923212124,0.6533678455743939,0.5815705326094758,0.5232605542405508,0.4553527712414507,0.0
