,id,16000,8000,4000,2000,1000,500
id,0.0,0.016162311997959478,0.05484205759148608,0.10484154718142236,0.16120328571651044,0.2183001515813885,0.2736303464080265
16000,0.016162311997959478,0.0,0.04381953607116884,0.0949886402931952,0.15243864347030467,0.2105221410838567,0.2669127299923275
8000,0.05484205759148608,0.04381953607116884,0.0,0.05535859994506609,0.11563643687986769,0.17707530170173413,0.23739709472101822
4000,0.10484154718142236,0.0949886402931952,0.05535859994506609,0.0,0.06461657241015928,0.13008249670747318,0.19560543368424987
2000,0.16120328571651044,0.15243864347030467,0.11563643687986769,0.06461657241015928,0.0,0.07133743871690967,0.14324428843247006
1000,0.2183001515813885,0.2105221410838567,0.17707530170173413,0.13008249670747318,0.07133743871690967,0.0,0.08034794454670191
500,0.2736303464080265,0.2669127299923275,0.23739709472101822,0.19560543368424987,0.14324428843247006,0.08034794454670191,0.0
