,id,500,1000,2000,4000,8000,16000
id,0.0,0.2863847724656807,0.40288868887000717,0.5177291997970315,0.630495114644873,0.7524138740263879,0.901110194332432
500,0.2863847724656807,0.0,0.15873465167896939,0.3171072683908278,0.4721884220489301,0.6366405019070953,0.8378749172552489
1000,0.40288868887000717,0.15873465167896939,0.0,0.17696314903150778,0.35853014633175917,0.5532208763761446,0.7938177353935316
2000,0.5177291997970315,0.3171072683908278,0.17696314903150778,0.0,0.20725356415641727,0.4384246958652511,0.7318397766212001
4000,0.630495114644873,0.4721884220489301,0.35853014633175917,0.20725356415641727,0.0,0.26866479085583705,0.6327729046752211
8000,0.7524138740263879,0.6366405019070953,0.5532208763761446,0.4384246958652511,0.26866479085583705,0.0,0.45461037299537566
16000,0.901110194332432,0.8378749172552489,0.7938177353935316,0.7318397766212001,0.6327729046752211,0.45461037299537566,0.0
