,id,-100,-80,-60,-40,-20,0
id,0.0,0.4343555813393323,0.4392422064265702,0.44095392886083573,0.4315948630683124,0.564775362945511,1.2839609843213111
-100,0.4343555813393323,0.0,0.43194055040657986,0.4219346226309426,0.4326127782551339,0.5581567112822086,1.2845406791311689
-80,0.4392422064265702,0.43194055040657986,0.0,0.4290356548081036,0.4417256310407538,0.5591077883727849,1.2856891570845619
-60,0.44095392886083573,0.4219346226309426,0.4290356548081036,0.0,0.4468798661546316,0.5614823542855447,1.2842817779164761
-40,0.4315948630683124,0.4326127782551339,0.4417256310407538,0.4468798661546316,0.0,0.5591192446881905,1.2841713185189292
-20,0.564775362945511,0.5581567112822086,0.5591077883727849,0.5614823542855447,0.5591192446881905,0.0,1.213178260717541
0,1.2839609843213111,1.2845406791311689,1.2856891570845619,1.2842817779164761,1.2841713185189292,1.213178260717541,0.0
