,0.333,0.5,0.666,0.833,id,1.2,1.5,2.0,3.0
AudioCLIP,0.1660654023544339,0.1081692841435142,0.0646316379752534,0.0304044670874645,0.0,0.0297534172404994,0.0616579489214927,0.099604238228494,0.1450563498910924
CLAP,0.4927271248307079,0.4675687141134403,0.4296195365459425,0.4479287967842538,0.0,0.4326392065995605,0.4412161118671065,0.4749943544447887,0.5372907524870243
WAV2CLIP,0.4398682940809522,0.2856506051321048,0.1693016615245142,0.0765565520050586,0.0,0.0738382240087958,0.1572173206295701,0.2530448214456555,0.366139005520381
