,id,0.8,0.4,0.2,0.1
AudioCLIP,0.0,0.0040343683745689,0.0307566601435524,0.0815835580864678,0.137947931603902
CLAP,0.0,0.4286593331635231,0.4610765592224197,0.5856957335490733,0.7831987641111482
WAV2CLIP,0.0,0.0977828658583632,0.3973301809903411,0.7531137751338974,0.9521972291472592
