,id,-100,-80,-60,-40,-20,0
id,0.0,0.4343555712111993,0.4392421943775844,0.4409539153421065,0.4315948520670645,0.5647753472730983,1.2839609480579384
-100,0.4343555712111993,0.0,0.43194054036575835,0.4219346124154981,0.4326127670647111,0.5581566971814027,1.2845406458363868
-80,0.4392421943775844,0.43194054036575835,0.0,0.4290356429628446,0.4417256185115548,0.5591077755816514,1.28568912477931
-60,0.4409539153421065,0.4219346124154981,0.4290356429628446,0.0,0.44687985368364025,0.5614823388605146,1.2842817453783937
-40,0.4315948520670645,0.4326127670647111,0.4417256185115548,0.44687985368364025,0.0,0.5591192304273136,1.284171286621131
-20,0.5647753472730983,0.5581566971814027,0.5591077755816514,0.5614823388605146,0.5591192304273136,0.0,1.213178231031634
0,1.2839609480579384,1.2845406458363868,1.28568912477931,1.2842817453783937,1.284171286621131,1.213178231031634,0.0
