,id,500,1000,2000,4000,8000,16000
id,0.0,0.07746054177732731,0.10048274471773766,0.1229483491370047,0.1492800368287135,0.19095712478883797,0.3103251844004262
500,0.07746054177732731,0.0,0.0353160642007424,0.07000686274841428,0.11012607494558324,0.16720792531850748,0.30723323779238854
1000,0.10048274471773766,0.0353160642007424,0.0,0.042216760528390296,0.08908342313588946,0.15315574491251027,0.3019200622002245
2000,0.1229483491370047,0.07000686274841428,0.042216760528390296,0.0,0.054859268968357355,0.126058293179085,0.2838617653178517
4000,0.1492800368287135,0.11012607494558324,0.08908342313588946,0.054859268968357355,0.0,0.08104130305946455,0.2493664270878071
8000,0.19095712478883797,0.16720792531850748,0.15315574491251027,0.126058293179085,0.08104130305946455,0.0,0.18809041498752777
16000,0.3103251844004262,0.30723323779238854,0.3019200622002245,0.2838617653178517,0.2493664270878071,0.18809041498752777,0.0
