,id,1.2,1.5,2.0,3.0,0.833,0.666,0.5,0.333
id,0.0,0.02975341654928343,0.061657947408093605,0.09960423560551135,0.14505634632951114,0.03040446639261063,0.06463163617809187,0.1081692811458197,0.16606539817803423
1.2,0.02975341654928343,0.0,0.034615801014297176,0.07394876188845956,0.12188788799903705,0.05739891444500245,0.0906951845427102,0.13242483088833978,0.18775954638113035
1.5,0.061657947408093605,0.034615801014297176,0.0,0.04230204635859991,0.09281611392725608,0.08833886639695265,0.12002824314549798,0.15939420597351273,0.21167713334580185
2.0,0.09960423560551135,0.07394876188845956,0.04230204635859991,0.0,0.05475892388494685,0.12457401613937691,0.15403165704628918,0.19044434644456487,0.2390069656612468
3.0,0.14505634632951114,0.12188788799903705,0.09281611392725608,0.05475892388494685,0.0,0.16752089550573146,0.1939796068763826,0.22658415995829273,0.27051260263397126
0.833,0.03040446639261063,0.05739891444500245,0.08833886639695265,0.12457401613937691,0.16752089550573146,0.0,0.03715744208784599,0.08229272995959036,0.1427410232645343
0.666,0.06463163617809187,0.0906951845427102,0.12002824314549798,0.15403165704628918,0.1939796068763826,0.03715744208784599,0.0,0.04852785876209964,0.11187779273677734
0.5,0.1081692811458197,0.13242483088833978,0.15939420597351273,0.19044434644456487,0.22658415995829273,0.08229272995959036,0.04852785876209964,0.0,0.06829391096835025
0.333,0.16606539817803423,0.18775954638113035,0.21167713334580185,0.2390069656612468,0.27051260263397126,0.1427410232645343,0.11187779273677734,0.06829391096835025,0.0
