,id,1,2,3,4,5,6,7,8,9,10,11,12,24,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-24
id,0.0,0.14242235,0.171673,0.19097732,0.19838439,0.18061812,0.17533155,0.20551197,0.15988703,0.16076894,0.23355947,0.19945957,0.29091904,0.2883012,0.23533675,0.24118291,0.26425898,0.2705925,0.2874125,0.27142197,0.2660161,0.27276203,0.27268448,0.2911562,0.3009422,0.31541067,0.37297603
1,0.14242235,0.0,0.08570012,0.11168893,0.12889399,0.11450436,0.14064471,0.16350141,0.1491092,0.17952487,0.23346305,0.20565854,0.22497654,0.32677615,0.15446827,0.17454222,0.22061054,0.23151486,0.24637406,0.23768361,0.24920882,0.2510252,0.25950572,0.2650461,0.2768255,0.29398295,0.368656
2,0.171673,0.08570012,0.0,0.081538826,0.084748685,0.070345275,0.1071706,0.13923697,0.1436927,0.16375598,0.20892489,0.19531363,0.25322613,0.3243397,0.19572008,0.22277546,0.2799529,0.28481942,0.29886693,0.29521373,0.30538252,0.30590662,0.3123455,0.31811497,0.3303536,0.3507695,0.427375
3,0.19097732,0.11168893,0.081538826,0.0,0.061232835,0.08367694,0.13017797,0.16114937,0.16304307,0.18956797,0.22733328,0.21259393,0.22912672,0.33363315,0.17245324,0.20699537,0.26474902,0.27039328,0.2852564,0.2847988,0.29606017,0.2948255,0.30183962,0.30838543,0.31976864,0.340495,0.42294836
4,0.19838439,0.12889399,0.084748685,0.061232835,0.0,0.07900068,0.12187696,0.15670334,0.16037755,0.17704847,0.21615568,0.20573674,0.24977335,0.33499202,0.20207386,0.23503315,0.2884068,0.2909134,0.30434152,0.3054736,0.31509814,0.3149449,0.32356873,0.32864356,0.33971635,0.3617793,0.44007355
5,0.18061812,0.11450436,0.070345275,0.08367694,0.07900068,0.0,0.070750676,0.10477567,0.12206493,0.1372236,0.17523925,0.16896643,0.25238052,0.29909083,0.21676092,0.24597576,0.29998046,0.30620545,0.3189374,0.31507608,0.3254169,0.3257128,0.33233723,0.3397558,0.3513963,0.37188417,0.44391698
6,0.17533155,0.14064471,0.1071706,0.13017797,0.12187696,0.070750676,0.0,0.06818054,0.08253594,0.09156069,0.1278555,0.13103478,0.27043626,0.27290112,0.24887873,0.276201,0.32289022,0.3270345,0.33918813,0.33404607,0.3422674,0.34441292,0.3489571,0.35703063,0.36789772,0.38897586,0.45368662
7,0.20551197,0.16350141,0.13923697,0.16114937,0.15670334,0.10477567,0.06818054,0.0,0.09259228,0.110472746,0.124560565,0.13678743,0.2753839,0.28908885,0.26505196,0.29196876,0.33754584,0.34433347,0.35373574,0.34973505,0.36176333,0.36504436,0.36928084,0.37588727,0.38649774,0.405932,0.4672829
8,0.15988703,0.1491092,0.1436927,0.16304307,0.16037755,0.12206493,0.08253594,0.09259228,0.0,0.080809675,0.12091331,0.11128189,0.26017776,0.25505373,0.24513823,0.26443648,0.3001544,0.30171874,0.31127125,0.3042492,0.31265047,0.31690428,0.31904855,0.32811293,0.3377671,0.3581593,0.41735384
