,id,-100,-80,-60,-40,-20,0
id,1.0000000129221007,1.0000000179279596,1.0000000122236088,0.9999999819556251,0.8920242832391523,0.3541564164261217,0.2926285653488776
-100,1.0000000179279596,1.000000017695129,1.0000000147847459,0.9999999848660082,0.8920242852182128,0.35415641729559866,0.29262856558693784
-80,1.0000000122236088,1.0000000147847459,1.0000000069849193,0.9999999799765646,0.892024285858497,0.3541563958297047,0.2926285423995978
-60,0.9999999819556251,0.9999999848660082,0.9999999799765646,1.0000000114087015,0.8920837566256523,0.3541700736168423,0.29263115865433065
-40,0.8920242832391523,0.8920242852182128,0.892024285858497,0.8920837566256523,1.0000000096624717,0.4066823885877966,0.3105163019063184
-20,0.3541564164261217,0.35415641729559866,0.3541563958297047,0.3541700736168423,0.4066823885877966,1.0000000080326572,0.725186285955715
0,0.2926285653488776,0.29262856558693784,0.2926285423995978,0.29263115865433065,0.3105163019063184,0.725186285955715,1.0000000001164153
