,id,1.1,1.2,1.3,1.4,1.5,2.0,0.909,0.833,0.769,0.714,0.666,0.5
id,1.0000000129221007,0.9036621931008995,0.903321054938715,0.9028112647356465,0.900820106791798,0.8984937253990211,0.876821760670282,0.8954802574007772,0.8890498585533351,0.8829365346464328,0.877144591184333,0.8710287181893364,0.8199830935918726
1.1,0.9036621931008995,1.0000000045401976,0.9954460629960522,0.9914916708366945,0.9858649406814948,0.9790544710122049,0.9354578126221895,0.9915025524096563,0.9853805385064334,0.9782842047279701,0.970505582401529,0.9625980973942205,0.899306723207701
1.2,0.903321054938715,0.9954460629960522,1.0000000088475645,0.995740533224307,0.9924728418700397,0.9874852034263313,0.9490935889771208,0.9844855827977881,0.9766362982336432,0.9682294664671645,0.9593517474131659,0.9505614797817543,0.8877394524752162
1.3,0.9028112647356465,0.9914916708366945,0.995740533224307,1.0000000087311491,0.9958316772244871,0.9925552634522319,0.9598277836339548,0.9763950625201687,0.967199012520723,0.9578878638567403,0.9482671123696491,0.9388851836556569,0.876577379531227
1.4,0.900820106791798,0.9858649406814948,0.9924728418700397,0.9958316772244871,1.000000007566996,0.9956218748120591,0.9692171558272094,0.9675790118053555,0.9572021438507363,0.9472396852215752,0.9370882996590808,0.9272860963246785,0.8663496606168337
1.5,0.8984937253990211,0.9790544710122049,0.9874852034263313,0.9925552634522319,0.9956218748120591,1.0000000051222742,0.9772303459467366,0.958014904288575,0.94688334770035,0.9364168005995452,0.9257560845580883,0.915735307673458,0.8563441202859394
2.0,0.876821760670282,0.9354578126221895,0.9490935889771208,0.9598277836339548,0.9692171558272094,0.9772303459467366,1.0000000086147338,0.907545464404393,0.8942032164195552,0.8829876905074343,0.8717741395812482,0.8614869443699718,0.8126419199979864
0.909,0.8954802574007772,0.9915025524096563,0.9844855827977881,0.9763950625201687,0.9675790118053555,0.958014904288575,0.907545464404393,1.0000000114087015,0.996259237988852,0.9929033637745306,0.9883371539181098,0.9829554839525372,0.9196737802121788
0.833,0.8890498585533351,0.9853805385064334,0.9766362982336432,0.967199012520723,0.9572021438507363,0.94688334770035,0.8942032164195552,0.996259237988852,1.0000000143190846,0.9968969555338845,0.9942362568108365,0.9904746178071946,0.9263629106571898
0.769,0.8829365346464328,0.9782842047279701,0.9682294664671645,0.9578878638567403,0.9472396852215752,0.9364168005995452,0.8829876905074343,0.9929033637745306,0.9968969555338845,1.0000000149011612,0.9972047857008874,0.9950894217472523,0.9320591669529676
0.714,0.877144591184333,0.970505582401529,0.9593517474131659,0.9482671123696491,0.9370882996590808,0.9257560845580883,0.8717741395812482,0.9883371539181098,0.9942362568108365,0.9972047857008874,1.0000000112922862,0.9975028145126998,0.9362078366102651
0.666,0.8710287181893364,0.9625980973942205,0.9505614797817543,0.9388851836556569,0.9272860963246785,0.915735307673458,0.8614869443699718,0.9829554839525372,0.9904746178071946,0.9950894217472523,0.9975028145126998,1.0000000069849193,0.9397118285996839
0.5,0.8199830935918726,0.899306723207701,0.8877394524752162,0.876577379531227,0.8663496606168337,0.8563441202859394,0.8126419199979864,0.9196737802121788,0.9263629106571898,0.9320591669529676,0.9362078366102651,0.9397118285996839,1.0000000146683306
