,id,500,1000,2000,4000,8000,16000
id,1.0000000433064997,0.8567869682156015,0.8244593758718111,0.7991911506687757,0.756789261882659,0.7202648415986914,0.6691734488122165
500,0.8567869682156015,1.0000000456348062,0.8717334732646123,0.8521729910280555,0.8173937835672405,0.7819343852752354,0.7310866142215673
1000,0.8244593758718111,0.8717334732646123,1.000000043772161,0.8743269778206013,0.852949870575685,0.8249537315568887,0.7732582621101756
2000,0.7991911506687757,0.8521729910280555,0.8743269778206013,1.000000043073669,0.8754916010657325,0.8528834430908319,0.8166275889379904
4000,0.756789261882659,0.8173937835672405,0.852949870575685,0.8754916010657325,1.000000043073669,0.8780615753785241,0.8464406481652986
8000,0.7202648415986914,0.7819343852752354,0.8249537315568887,0.8528834430908319,0.8780615753785241,1.0000000419095159,0.8786717770854011
16000,0.6691734488122165,0.7310866142215673,0.7732582621101756,0.8166275889379904,0.8464406481652986,0.8786717770854011,1.0000000407453626
