,id,500,1000,2000,4000,8000,16000
id,1.000000040512532,0.9962199189467356,0.9939507864182815,0.9912607861915603,0.9873156665125862,0.9795494006248191,0.947791556129232
500,0.9962199189467356,1.000000044470653,0.9992677351692691,0.9971495067002252,0.9929220287594944,0.9839191091014072,0.9483852898702025
1000,0.9939507864182815,0.9992677351692691,1.0000000428408384,0.9989536524517462,0.9953324393136427,0.9864857309730724,0.950196729390882
2000,0.9912607861915603,0.9971495067002252,0.9989536524517462,1.0000000388827175,0.998214824241586,0.9908171542920172,0.9558226732769981
4000,0.9873156665125862,0.9929220287594944,0.9953324393136427,0.998214824241586,1.00000003981404,0.9961950625292957,0.965622007730417
8000,0.9795494006248191,0.9839191091014072,0.9864857309730724,0.9908171542920172,0.9961950625292957,1.0000000400468707,0.9802661855937913
16000,0.947791556129232,0.9483852898702025,0.950196729390882,0.9558226732769981,0.965622007730417,0.9802661855937913,1.0000000440049917
