,id,1,2,3,4,5,6,7,8,9,10,11,12,24,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-24
id,1.0000000321306288,0.8349960540945176,0.7896910237614065,0.7266876421854249,0.6656478473305469,0.6263775422994513,0.5668854910691152,0.5444444306049263,0.5253057447807805,0.5069933842969476,0.49218880876287585,0.47824435560323764,0.45687549524154747,0.33619627838925226,0.8827589564607479,0.8556367378332652,0.8384286606742535,0.8273717043339275,0.8034956082119606,0.7852696043555625,0.7565430679242127,0.7441778741776943,0.7256343450571876,0.6999181199935265,0.6761151506798342,0.6460725050419569,0.3608126913672578
1,0.8349960540945176,1.0000000400468707,0.9189189479220659,0.8530445522192167,0.7786327470530523,0.7175234025344253,0.6332817785441875,0.5887516479124315,0.5630801327170047,0.537739258750662,0.5176982280536322,0.49770846382307354,0.4515974454625393,0.2931861475317419,0.8724215799593367,0.8527235334622674,0.8285224807914346,0.8001172779186163,0.7758207864681026,0.7647614702000283,0.7437259114522021,0.7165596411796287,0.6898850435973145,0.6530486615665723,0.6292666706140153,0.6014631431025919,0.2934373533703365
2,0.7896910237614065,0.9189189479220659,1.0000000337604433,0.923412479867693,0.8466992119792849,0.7932458802679321,0.7014177006203681,0.6633337216480868,0.633679175429279,0.6052372065678355,0.5821702016983181,0.5601147672714433,0.5096947050769813,0.3390268222092345,0.8180718032235745,0.7871871177339926,0.7675870199454948,0.7446525702835061,0.7257740387576632,0.7112064004759304,0.6784624808060471,0.6621788682241458,0.6439155373664107,0.6199974354240112,0.589056441327557,0.5566789475124096,0.31631535693304613
3,0.7266876421854249,0.8530445522192167,0.923412479867693,1.000000037951395,0.9250446209916845,0.8659228162723593,0.7768488618166884,0.7218769897153834,0.6896229485719232,0.6583460909459973,0.6325514117925195,0.6066481471352745,0.5469594402893563,0.3515729027863017,0.7400732607784448,0.718435154427425,0.7055452838685596,0.6829776652448345,0.6617590426467359,0.6458322986145504,0.6239633759541903,0.6089260781736812,0.5886105246900115,0.5569804601254873,0.5281143105094088,0.5095650928415125,0.30065843870107756
4,0.6656478473305469,0.7786327470530523,0.8466992119792849,0.9250446209916845,1.0000000391155481,0.9430513743427582,0.8639082482841332,0.8051476065302268,0.7693358982360223,0.7358864944544621,0.7062772211356787,0.6783520624885568,0.6111911694461014,0.3936106091732654,0.6743961191823473,0.6602123908523936,0.6474743988947012,0.6214596134232124,0.6014433011296205,0.5949003067216836,0.5793429213517811,0.5610425336635672,0.536755470733624,0.5100613634713227,0.49611075448046904,0.48845064532360993,0.31663910527936423
5,0.6263775422994513,0.7175234025344253,0.7932458802679321,0.8659228162723593,0.9430513743427582,1.0000000374857336,0.9324149754538666,0.8738980388443451,0.840017742535565,0.8055482551571913,0.7741548062185757,0.7435214474826353,0.6700493488897337,0.43493493119422055,0.6326652777934214,0.6126075667707482,0.5995556286652572,0.5784790424368111,0.5639339211338665,0.555212747247424,0.5397466523572803,0.5240958913345821,0.5052726051071659,0.4856319075479405,0.4720939122198615,0.4641945871844655,0.32434379277128755
6,0.5668854910691152,0.6332817785441875,0.7014177006203681,0.7768488618166884,0.8639082482841332,0.9324149754538666,1.0000000377185643,0.9349586449679919,0.9032960734912194,0.8729098897892982,0.8410623287782073,0.8096185390895698,0.7283558774797712,0.47629404174222145,0.5656317790417233,0.5505658632464474,0.5379994716058718,0.5175531290733488,0.5102153740590438,0.5045510310446844,0.4924550254654605,0.471914027017192,0.45820783007366117,0.4473370078485459,0.4401835917524295,0.43780879327096045,0.33348982759798673
7,0.5444444306049263,0.5887516479124315,0.6633337216480868,0.7218769897153834,0.8051476065302268,0.8738980388443451,0.9349586449679919,1.000000037951395,0.9675386337330565,0.9408166325301863,0.9137873228173703,0.8837343523919117,0.7952754892467055,0.5342437030922156,0.5345643288455904,0.514069481389015,0.49613084651355166,0.48254106791864615,0.4784065106505295,0.4676099459902616,0.446910778482561,0.43984027329133824,0.43277798547933344,0.4284668352920562,0.4200364578719018,0.4141312069405103,0.3513229957666226
8,0.5253057447807805,0.5630801327170047,0.633679175429279,0.6896229485719232,0.7693358982360223,0.840017742535565,0.9032960734912194,0.9675386337330565,1.000000043772161,0.968921948922798,0.9439254400786012,0.9179465437191539,0.8266824268794153,0.5606039483973291,0.5107377833555802,0.4908713593176799,0.47561821223644074,0.4638523381727282,0.45904249645536765,0.4477223533758661,0.4295388112659566,0.42454452862148173,0.4194888189085759,0.4167661694664275,0.4083272449497599,0.4015941140751238,0.35112353417571285
